Customer ID,City,Age,Cuisine Preference,Veg Nonveg Egg Preference,App Usage Frequency,Time Preference,Course Preference,avg_order_value,avg_order_items,total_orders
100001,Delhi,18,"[0.28, 0.08, 0.32, 0.1, 0.12, 0.08, 0.02]","[0.16, 0.52, 0.32]",high,"[0.54, 0.06, 0.02, 0.14, 0.24]","[0.12, 0.28, 0.13, 0.01, 0.46]",909.0625,5.7875,80
100002,Mumbai,35,"[0.41, 0.12, 0.01, 0.1, 0.14, 0.18, 0.04]","[0.26, 0.55, 0.19]",low,"[0.0, 0.21, 0.33, 0.31, 0.15]","[0.53, 0.18, 0.05, 0.16, 0.08]",561.6538461538462,4.038461538461538,26
100003,Mumbai,38,"[0.08, 0.07, 0.1, 0.19, 0.08, 0.16, 0.32]","[0.48, 0.39, 0.13]",medium,"[0.0, 0.14, 0.4, 0.29, 0.17]","[0.3, 0.2, 0.08, 0.15, 0.27]",795.7380952380952,5.785714285714286,42
100004,Bangalore,25,"[0.07, 0.18, 0.11, 0.1, 0.02, 0.15, 0.37]","[1.0, 0.0, 0.0]",low,"[0.0, 0.12, 0.19, 0.46, 0.23]","[0.36, 0.1, 0.13, 0.04, 0.37]",484.2631578947368,4.0,19
100005,Delhi,53,"[0.29, 0.0, 0.32, 0.13, 0.02, 0.23, 0.01]","[1.0, 0.0, 0.0]",low,"[0.0, 0.19, 0.05, 0.68, 0.08]","[0.21, 0.18, 0.09, 0.27, 0.25]",713.3714285714286,5.685714285714286,35
100006,Mumbai,18,"[0.22, 0.15, 0.08, 0.15, 0.02, 0.0, 0.38]","[1.0, 0.0, 0.0]",low,"[0.0, 0.27, 0.24, 0.3, 0.19]","[0.11, 0.18, 0.07, 0.26, 0.38]",452.95238095238096,4.0,21
100007,Chennai,44,"[0.0, 0.19, 0.23, 0.11, 0.27, 0.07, 0.13]","[1.0, 0.0, 0.0]",medium,"[0.0, 0.36, 0.04, 0.44, 0.16]","[0.17, 0.29, 0.24, 0.01, 0.29]",683.9038461538462,4.519230769230769,52
100008,Delhi,28,"[0.29, 0.2, 0.19, 0.11, 0.0, 0.16, 0.05]","[0.36, 0.43, 0.21]",medium,"[0.0, 0.29, 0.03, 0.4, 0.28]","[0.16, 0.29, 0.08, 0.02, 0.45]",868.5652173913044,5.934782608695652,46
100009,Mumbai,40,"[0.01, 0.21, 0.06, 0.22, 0.09, 0.19, 0.22]","[0.96, 0.0, 0.04]",medium,"[0.0, 0.04, 0.34, 0.23, 0.39]","[0.22, 0.06, 0.2, 0.14, 0.38]",399.2142857142857,3.761904761904762,42
100010,Chennai,33,"[0.01, 0.14, 0.16, 0.07, 0.33, 0.2, 0.09]","[0.14, 0.72, 0.14]",low,"[0.0, 0.66, 0.09, 0.18, 0.07]","[0.23, 0.09, 0.15, 0.28, 0.25]",617.4848484848485,5.2727272727272725,33
100011,Bangalore,29,"[0.07, 0.24, 0.11, 0.2, 0.09, 0.14, 0.15]","[0.62, 0.28, 0.1]",low,"[0.0, 0.12, 0.12, 0.36, 0.4]","[0.24, 0.18, 0.2, 0.02, 0.36]",858.483870967742,6.0,31
100012,Mumbai,49,"[0.06, 0.27, 0.08, 0.25, 0.03, 0.0, 0.31]","[0.97, 0.0, 0.03]",medium,"[0.0, 0.15, 0.24, 0.5, 0.11]","[0.46, 0.09, 0.11, 0.02, 0.32]",853.5862068965517,5.9655172413793105,29
100013,Delhi,25,"[0.3, 0.01, 0.22, 0.17, 0.04, 0.19, 0.07]","[0.43, 0.5, 0.07]",high,"[0.0, 0.24, 0.24, 0.47, 0.05]","[0.33, 0.09, 0.03, 0.05, 0.5]",667.4487179487179,4.858974358974359,78
100014,Bangalore,53,"[0.06, 0.23, 0.11, 0.04, 0.06, 0.04, 0.46]","[1.0, 0.0, 0.0]",high,"[0.0, 0.34, 0.3, 0.23, 0.13]","[0.32, 0.34, 0.15, 0.11, 0.08]",533.6190476190476,3.5357142857142856,84
100015,Delhi,22,"[0.28, 0.22, 0.2, 0.04, 0.14, 0.11, 0.01]","[0.94, 0.0, 0.06]",medium,"[0.26, 0.08, 0.13, 0.26, 0.27]","[0.16, 0.19, 0.22, 0.05, 0.38]",1009.2962962962963,7.425925925925926,54
100016,Delhi,39,"[0.32, 0.22, 0.07, 0.01, 0.25, 0.06, 0.07]","[0.47, 0.25, 0.28]",low,"[0.0, 0.1, 0.26, 0.22, 0.42]","[0.37, 0.12, 0.38, 0.04, 0.09]",898.1935483870968,5.903225806451613,31
100017,Delhi,27,"[0.37, 0.07, 0.23, 0.1, 0.08, 0.15, 0.0]","[1.0, 0.0, 0.0]",low,"[0.0, 0.27, 0.11, 0.44, 0.18]","[0.31, 0.32, 0.11, 0.03, 0.23]",531.6666666666666,3.7037037037037037,27
100018,Mumbai,54,"[0.05, 0.21, 0.15, 0.12, 0.01, 0.15, 0.31]","[0.56, 0.0, 0.44]",low,"[0.0, 0.29, 0.32, 0.23, 0.16]","[0.26, 0.23, 0.2, 0.03, 0.28]",928.6521739130435,6.956521739130435,23
100019,Bangalore,46,"[0.11, 0.15, 0.15, 0.13, 0.01, 0.27, 0.18]","[0.45, 0.51, 0.04]",low,"[0.0, 0.14, 0.08, 0.41, 0.37]","[0.14, 0.24, 0.28, 0.02, 0.32]",764.5862068965517,5.0,29
100020,Mumbai,18,"[0.19, 0.04, 0.2, 0.11, 0.09, 0.06, 0.31]","[1.0, 0.0, 0.0]",high,"[0.0, 0.21, 0.2, 0.47, 0.12]","[0.3, 0.45, 0.12, 0.01, 0.12]",974.1272727272727,5.327272727272727,55
100021,Mumbai,18,"[0.15, 0.25, 0.06, 0.27, 0.07, 0.05, 0.15]","[0.57, 0.0, 0.43]",low,"[0.0, 0.15, 0.08, 0.59, 0.18]","[0.11, 0.45, 0.03, 0.16, 0.25]",764.8,5.3,30
100022,Chennai,25,"[0.13, 0.17, 0.23, 0.04, 0.18, 0.04, 0.21]","[1.0, 0.0, 0.0]",low,"[0.0, 0.15, 0.12, 0.2, 0.53]","[0.37, 0.13, 0.33, 0.02, 0.15]",1143.88,7.52,25
100023,Mumbai,31,"[0.13, 0.07, 0.1, 0.34, 0.12, 0.04, 0.2]","[0.37, 0.42, 0.21]",high,"[0.0, 0.38, 0.18, 0.38, 0.06]","[0.31, 0.23, 0.08, 0.35, 0.03]",797.0,5.973333333333334,75
100024,Bangalore,46,"[0.09, 0.08, 0.08, 0.45, 0.06, 0.05, 0.19]","[0.23, 0.1, 0.67]",low,"[0.0, 0.29, 0.09, 0.35, 0.27]","[0.15, 0.24, 0.04, 0.02, 0.55]",712.8695652173913,5.086956521739131,23
100025,Delhi,18,"[0.33, 0.41, 0.14, 0.01, 0.04, 0.0, 0.07]","[0.2, 0.69, 0.11]",medium,"[0.0, 0.24, 0.09, 0.6, 0.07]","[0.18, 0.13, 0.16, 0.27, 0.26]",565.8157894736842,5.315789473684211,38
100026,Chennai,40,"[0.19, 0.34, 0.16, 0.07, 0.15, 0.0, 0.09]","[1.0, 0.0, 0.0]",low,"[0.0, 0.16, 0.2, 0.27, 0.37]","[0.48, 0.17, 0.26, 0.02, 0.07]",970.7407407407408,6.777777777777778,27
100027,Chennai,35,"[0.01, 0.19, 0.3, 0.09, 0.14, 0.14, 0.13]","[1.0, 0.0, 0.0]",medium,"[0.0, 0.46, 0.08, 0.32, 0.14]","[0.57, 0.16, 0.08, 0.11, 0.08]",745.4761904761905,5.238095238095238,42
100028,Delhi,18,"[0.19, 0.06, 0.3, 0.16, 0.15, 0.12, 0.02]","[0.73, 0.23, 0.04]",low,"[0.0, 0.32, 0.42, 0.22, 0.04]","[0.31, 0.19, 0.29, 0.09, 0.12]",990.5581395348837,6.627906976744186,43
100029,Chennai,28,"[0.04, 0.15, 0.22, 0.29, 0.1, 0.18, 0.02]","[0.59, 0.32, 0.09]",low,"[0.0, 0.23, 0.3, 0.29, 0.18]","[0.23, 0.2, 0.1, 0.2, 0.27]",900.7714285714286,6.8,35
100030,Bangalore,25,"[0.1, 0.2, 0.16, 0.05, 0.28, 0.07, 0.14]","[0.7, 0.27, 0.03]",medium,"[0.29, 0.24, 0.02, 0.39, 0.06]","[0.29, 0.1, 0.15, 0.02, 0.44]",565.188679245283,4.320754716981132,53
100031,Mumbai,18,"[0.06, 0.06, 0.27, 0.18, 0.08, 0.17, 0.18]","[0.12, 0.34, 0.54]",medium,"[0.0, 0.31, 0.05, 0.23, 0.41]","[0.21, 0.35, 0.3, 0.06, 0.08]",626.1052631578947,3.736842105263158,38
100032,Bangalore,41,"[0.14, 0.13, 0.2, 0.08, 0.06, 0.16, 0.23]","[0.15, 0.54, 0.31]",medium,"[0.0, 0.04, 0.16, 0.3, 0.5]","[0.23, 0.16, 0.37, 0.09, 0.15]",528.3181818181819,3.977272727272727,44
100033,Mumbai,21,"[0.2, 0.17, 0.03, 0.36, 0.01, 0.12, 0.11]","[0.27, 0.59, 0.14]",low,"[0.0, 0.23, 0.14, 0.46, 0.17]","[0.08, 0.17, 0.2, 0.22, 0.33]",522.6875,4.375,32
100034,Delhi,20,"[0.35, 0.08, 0.24, 0.14, 0.02, 0.16, 0.01]","[0.25, 0.57, 0.18]",low,"[0.0, 0.58, 0.08, 0.13, 0.21]","[0.51, 0.09, 0.18, 0.11, 0.11]",832.6388888888889,5.527777777777778,36
100035,Mumbai,18,"[0.25, 0.17, 0.04, 0.29, 0.11, 0.04, 0.1]","[0.29, 0.62, 0.09]",medium,"[0.0, 0.31, 0.17, 0.39, 0.13]","[0.16, 0.2, 0.06, 0.03, 0.55]",872.0,6.297872340425532,47
100036,Chennai,18,"[0.2, 0.35, 0.18, 0.01, 0.07, 0.0, 0.19]","[0.78, 0.0, 0.22]",medium,"[0.48, 0.21, 0.01, 0.28, 0.02]","[0.14, 0.52, 0.1, 0.03, 0.21]",817.0833333333334,4.861111111111111,36
